No devices were found
Creating multiple envs -  4
Environment created
Box(-2.0, 2.0, (1,), float32) Box([-1. -1. -8.], [1. 1. 8.], (3,), float32)
Starting Initial training
Reward at iter 4096: -1170.1472152434087
Reward at iter 8192: -1320.770161551506
Reward at iter 12288: -1119.6585197601476
Reward at iter 16384: -1079.1525131138894
Reward at iter 20480: -1053.987194378365
Reward at iter 24576: -888.1439510384729
Reward at iter 28672: -864.2184795184336
Reward at iter 32768: -563.3496797999273
Reward at iter 36864: -447.3427920550095
Reward at iter 40960: -346.4117190243326
Reward at iter 45056: -155.1374406009514
Reward at iter 49152: -205.78010466115788
Reward at iter 53248: -204.8622346122766
Reward at iter 57344: -142.66260971433366
Reward at iter 61440: -154.5337832703987
Reward at iter 65536: -131.25514153416776
Reward at iter 69632: -183.51745020721575
Reward at iter 73728: -315.7500068728428
Reward at iter 77824: -132.04921419798478
Reward at iter 81920: -173.52776401110995
Reward at iter 86016: -129.9130085768048
Reward at iter 90112: -129.5724616281705
Reward at iter 94208: -204.94917097364197
Reward at iter 98304: -280.6413870259802
Reward at iter 102400: -210.57004693491072
Reward at iter 106496: -236.10352483281957
Reward at iter 110592: -107.26627744195025
Reward at iter 114688: -148.21365716946542
Reward at iter 118784: -189.18118953347587
Reward at iter 122880: -192.22710463971129
Reward at iter 126976: -177.37989549975322
Reward at iter 131072: -201.08491416114285
Reward at iter 135168: -54.3469551389782
Reward at iter 139264: -280.7552485837809
Reward at iter 143360: -132.86753444290628
Reward at iter 147456: -198.17411280252276
Reward at iter 151552: -213.29610089001494
Reward at iter 155648: -182.43448798775475
Reward at iter 159744: -182.00660429871144
Reward at iter 163840: -78.04188808918828
Reward at iter 167936: -210.32354563193468
Reward at iter 172032: -177.8132492781659
Reward at iter 176128: -208.82750856447916
Reward at iter 180224: -258.688438414251
Reward at iter 184320: -206.1458782079946
Reward at iter 188416: -213.07805483615803
Reward at iter 192512: -180.87118661370596
Reward at iter 196608: -195.05861094054157
Reward at iter 200704: -160.94045396876885
Reward at iter 204800: -178.60387898492345
Reward at iter 208896: -222.52831925656307
Reward at iter 212992: -241.94810787198193
Reward at iter 217088: -229.20256942349152
Reward at iter 221184: -130.70788265641826
Reward at iter 225280: -206.51951710627623
Reward at iter 229376: -130.57361465346426
Reward at iter 233472: -152.09065821600035
Reward at iter 237568: -181.20411817223862
Reward at iter 241664: -105.62566330695577
Reward at iter 245760: -76.3039393289682
Reward at iter 249856: -101.45745318586319
Reward at iter 253952: -238.83177716796004
Reward at iter 258048: -131.8849635264537
Reward at iter 262144: -106.2115770730325
Reward at iter 266240: -130.5863343434208
